Tiêu đề khóa học,Mô tả,Giá (VNĐ)
Khóa học Lập trình Java nâng cao 11,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Christopher Rhodes",1002425
Khóa học Lập trình Java nâng cao 12,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Elizabeth Aguilar",808680
Khóa học Lập trình Java nâng cao 13,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Antonio Cross",1089753
Khóa học Lập trình Java nâng cao 14,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Michael Thompson",1380119
Khóa học Lập trình Java nâng cao 15,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Patricia Benitez",1121157
Khóa học Lập trình Java nâng cao 16,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Rachel Sherman",1054833
Khóa học Lập trình Java nâng cao 17,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Valerie Lowery",909521
Khóa học Lập trình Java nâng cao 18,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Jennifer Perez",1080455
Khóa học Lập trình Java nâng cao 19,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Steven Russell",429553
Khóa học Lập trình Java nâng cao 20,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Steve Ford",671301
